name,chromosome,pos_mat_low,pos_mat_high,ori
7183.1pg.1,12,113572927,113573222,-1
Q52.1pg.2,12,113574241,113574540,-1
7183.2.3,12,113578504,113578799,-1
Q52.2.4,12,113588265,113588559,-1
7183.3pg.5,12,113589950,113590231,-1
7183.4.6,12,113597446,113597741,-1
7183.5pg.7,12,113603460,113603753,-1
Q52.3.8,12,113611184,113611476,-1
7183.6pg.9,12,113612967,113613260,-1
7183.7.10,12,113625506,113625801,-1
VH7183.a8psi.11,12,113634688,113634981,-1
Q52.4pg.12,12,113647476,113647765,-1
Q52.5.13,12,113653291,113653583,-1
7183.8pg.14,12,113654952,113655243,-1
7183.9.15,12,113661769,113662064,-1
7183.10pg.16,12,113669675,113669968,-1
Q52.6pg.17,12,113682464,113682753,-1
Q52.7.18,12,113685482,113685774,-1
7183.11pg.19,12,113687212,113687493,-1
7183.12.20,12,113702124,113702419,-1
PG.2.21,12,113714608,113714894,-1
Q52.8.22,12,113716670,113716962,-1
7183.13pg.24,12,113724756,113725040,-1
7183.14.25,12,113736111,113736406,-1
7183.15pg.26,12,113745426,113745713,-1
7183.16.27,12,113762249,113762544,-1
Q52.9.29,12,113769850,113770142,-1
7183.17pg.31,12,113781382,113781665,-1
PG.6.32,12,113794061,113794358,-1
Q52.10.33,12,113796138,113796430,-1
VH7183.a45psi.73,12,113803009,113803312,-1
Q52.11.34,12,113807314,113807606,-1
7183.18.35,12,113826646,113826941,-1
7183.19.36,12,113838526,113838821,-1
7183.20.37,12,113859149,113859442,-1
7183.21pg.38,12,113875772,113876064,-1
Q52.12pg.39,12,113877359,113877650,-1
Q52.13.40,12,113879096,113879388,-1
PG.7.41,12,113884764,113885048,-1
S107.1.42,12,113896408,113896713,-1
S107.2pg.43,12,113912027,113912330,-1
SM7.1.44,12,113931953,113932246,-1
X24.1pg.45,12,113948282,113948577,-1
36-60.1.46,12,113964388,113964683,-1
PG.8.47,12,113968536,113968840,-1
VH11.1.48,12,113981879,113982174,-1
SM7.2.49,12,113994469,113994762,-1
X24.2.50,12,114013144,114013439,-1
36-60.2pg.51,12,114033803,114034097,-1
PG.9.52,12,114037938,114038245,-1
VH11.2.53,12,114048241,114048536,-1
SM7.3.54,12,114059845,114060138,-1
VH16.1.55,12,114068828,114069126,-1
VH3609N.a1psi.95,12,114089391,114089681,-1
VGAM3.8-1-57,12,114093928,114094221,-1
PG.11.58,12,114107259,114107563,-1
VGAM3.8-2-59,12,114109001,114109294,-1
PG.12.60,12,114127539,114127837,-1
VGAM3.8-3-61,12,114140692,114140985,-1
S107.3.62,12,114153180,114153483,-1
VH15.a1psi.107,12,114158067,114158309,-1
SM7.4.63,12,114176438,114176731,-1
36-60.3.64,12,114196439,114196734,-1
S107.4.65,12,114222786,114223093,-1
36-60.4.66,12,114253617,114253915,-1
36-60.5.67,12,114262652,114262950,-1
3609N.1pg.68,12,114267603,114267906,-1
PG.13.69,12,114284681,114284989,-1
36-60.6.70,12,114288152,114288447,-1
VGAM3.8-4-71,12,114299961,114300254,-1
36-60.7pg.72,12,114314184,114314479,-1
PG.14.73,12,114320029,114320324,-1
36-60.8.74,12,114322374,114322666,-1
PG.15.75,12,114332796,114333086,-1
PG.16.76,12,114351703,114351995,-1
3609N.2.77,12,114357761,114358060,-1
VH12.1.78,12,114366520,114366819,-1
J606.1.79,12,114391712,114392010,-1
J606.2.80,12,114406474,114406773,-1
J606.3.81,12,114416596,114416895,-1
J606.4.82,12,114434788,114435087,-1
J606.5.83,12,114455626,114455925,-1
3609.1.84,12,114462290,114462589,-1
J558.1.85,12,114469075,114469395,-1
VH10.1.86,12,114479005,114479306,-1
PG.17.87,12,114481671,114481916,-1
J558.2.88,12,114487136,114487429,-1
VH10.2pg.89,12,114496003,114496292,-1
J558.3.90,12,114513330,114513623,-1
VH10.3.91,12,114523441,114523742,-1
PG.18.92,12,114533017,114533264,-1
J558.4.93,12,114538495,114538788,-1
J558.5pg.94,12,114555609,114555902,-1
VH15.1.95,12,114564578,114564874,-1
J558.6.96,12,114583569,114583862,-1
J558.7pg.97,12,114597879,114598186,-1
J558.8.98,12,114612243,114612536,-1
J558.9.99,12,114615850,114616143,-1
J558.10pg.100,12,114630680,114630973,-1
J558.11pg.101,12,114646572,114646865,-1
J558.12.102,12,114657353,114657646,-1
J558.13.103,12,114665872,114666165,-1
J558.14pg.104,12,114671968,114672261,-1
J558.15pg.105,12,114676749,114677041,-1
J558.16.106,12,114682632,114682925,-1
J558.17pg.107,12,114704147,114704440,-1
J558.18.108,12,114708648,114708941,-1
J558.19.109,12,114723772,114724065,-1
J558.20pg.110,12,114736245,114736538,-1
J558.21pg.111,12,114740408,114740701,-1
J558.22.112,12,114746273,114746566,-1
J558.23.113,12,114764450,114764743,-1
J558.24pg.114,12,114772928,114773221,-1
J558.25pg.115,12,114781409,114781702,-1
J558.26.116,12,114788372,114788665,-1
J558.27pg.117,12,114804616,114804909,-1
J558.28pg.118,12,114809421,114809714,-1
J558.29pg.119,12,114812321,114812605,-1
J558.30pg.120,12,114817099,114817390,-1
J558.31.121,12,114829264,114829557,-1
J558.32pg.122,12,114835223,114835516,-1
J558.33pg.123,12,114843651,114843943,-1
J558.34.124,12,114851190,114851483,-1
J558.35pg.125,12,114875304,114875597,-1
J558.36.126,12,114879888,114880181,-1
J558.37.127,12,114896238,114896531,-1
J558.38pg.128,12,114910011,114910303,-1
J558.39.129,12,114914599,114914892,-1
J558.40pg.130,12,114924941,114925233,-1
J558.41pg.131,12,114932371,114932642,-1
J558.42.132,12,114937113,114937406,-1
J558.43.133,12,114945950,114946243,-1
J558.44pg.134,12,114963380,114963674,-1
J558.45pg.135,12,114970055,114970349,-1
J558.46pg.136,12,114977693,114977986,-1
J558.47.137,12,114991108,114991401,-1
3609.2pg.138,12,115003426,115003700,-1
3609.3.139,12,115024019,115024319,-1
J558.48pg.140,12,115038227,115038520,-1
J558.49.141,12,115055223,115055516,-1
3609.4.142,12,115067560,115067860,-1
J558.50.143,12,115119748,115120041,-1
J558.51pg.144,12,115131369,115131668,-1
J558.52.145,12,115145487,115145780,-1
J558.53.146,12,115158403,115158696,-1
3609.5.147,12,115165777,115166077,-1
J558.54.148,12,115193675,115193968,-1
J558.55.149,12,115208095,115208388,-1
J558.56.150,12,115242802,115243095,-1
3609.6pg.151,12,115258132,115258432,-1
J558.57pg.152,12,115268424,115268715,-1
3609.7.153,12,115294062,115294362,-1
J558.58.154,12,115312166,115312459,-1
J558.59.155,12,115335082,115335375,-1
J558.60pg.156,12,115344531,115344830,-1
J558.61.157,12,115359140,115359433,-1
J558.62pg.158,12,115371986,115372278,-1
J558.63pg.159,12,115386697,115386988,-1
3609.8pg.160,12,115404419,115404724,-1
J558.64.162,12,115446409,115446710,-1
J558.65.163,12,115460999,115461292,-1
3609.9.164,12,115468332,115468632,-1
J558.66.165,12,115495625,115495918,-1
J558.67.166,12,115507545,115507838,-1
3609.10pg.167,12,115519340,115519640,-1
J558.68pg.168,12,115532056,115532347,-1
3609.11.169,12,115567149,115567449,-1
J558.69.170,12,115593110,115593403,-1
J558.70pg.171,12,115603940,115604233,-1
J558.71pg.172,12,115611342,115611623,-1
J558.72.173,12,115623161,115623454,-1
3609.12.174,12,115647945,115648245,-1
J558.73pg.175,12,115691889,115692182,-1
J558.74.176,12,115742205,115742506,-1
J558.75.177,12,115757984,115758277,-1
3609.13pg.178,12,115765335,115765635,-1
J558.76pg.179,12,115790593,115790887,-1
J558.77.180,12,115802648,115802941,-1
3609.14pg.181,12,115808427,115808727,-1
J558.78.182,12,115833950,115834243,-1
3609.15pg.183,12,115844009,115844307,-1
J558.79.184,12,115847881,115848174,-1
3609.16pg.185,12,115858001,115858299,-1
J558.80.186,12,115861867,115862160,-1
J558.81.187,12,115868773,115869066,-1
J558.82pg.188,12,115888096,115888389,-1
J558.83.189,12,115912344,115912637,-1
J558.84.190,12,115920279,115920572,-1
J558.85.191,12,115952538,115952831,-1
J558.86.192,12,115963817,115964110,-1
J558.87.193,12,115980702,115980995,-1
J558.88.194,12,116000028,116000321,-1
J558.89pg.195,12,116009659,116009954,-1
